Transaction_ID,Date,Time,Amount,Description,Merchant,Category
TX0001,2024-04-03,20:57:00,8.53,Lunch meal,McDonalds,Food & Beverage
TX0002,2024-08-11,15:39:00,228.41,Electricity bill,Local Utility,Bills
TX0003,2024-10-25,18:49:00,109.65,Grocery store purchase,Target,Groceries
TX0004,2024-04-04,15:06:00,23.62,Taxi service,Uber,Transportation
TX0005,2025-03-26,22:38:00,24.74,Taxi service,Local Transit,Transportation
TX0006,2025-03-28,12:13:00,186.46,Pharmacy purchase,Local Clinic,Healthcare
TX0007,2025-01-12,12:57:00,41.06,Bulk food items,Walmart,Groceries
TX0008,2024-12-30,22:56:00,86.81,Supermarket shopping,Costco,Groceries
TX0009,2024-08-21,12:04:00,22.81,Dinner at restaurant,McDonalds,Food & Beverage
TX0010,2025-01-05,08:07:00,53.44,Movie tickets,Spotify,Entertainment
TX0011,2025-02-06,18:18:00,27.97,Lunch meal,Dunkin,Food & Beverage
TX0012,2025-03-08,12:28:00,10.84,Dinner at restaurant,McDonalds,Food & Beverage
TX0013,2024-05-07,08:16:00,34.11,Bus ticket,Uber,Transportation
TX0014,2025-03-06,15:17:00,74.54,Concert tickets,Netflix,Entertainment
TX0015,2025-03-07,08:13:00,16.53,Taxi service,Lyft,Transportation
TX0016,2024-12-21,20:33:00,126.4,Supermarket shopping,Target,Groceries
TX0017,2024-11-03,12:56:00,35.24,Taxi service,Lyft,Transportation
TX0018,2024-11-15,20:45:00,279.27,Health supplement,CVS Pharmacy,Healthcare
TX0019,2024-07-03,20:36:00,5.81,Dinner at restaurant,Subway,Food & Beverage
TX0020,2025-03-03,12:56:00,17.48,Lunch meal,McDonalds,Food & Beverage
TX0021,2024-07-11,18:30:00,26.46,Coffee purchase,Subway,Food & Beverage
TX0022,2025-03-18,18:26:00,996.67,Internet bill,Local Utility,Bills
TX0023,2025-03-03,22:18:00,11.59,Coffee purchase,Starbucks,Food & Beverage
TX0024,2024-07-17,15:34:00,110.78,Pharmacy purchase,Walgreens,Healthcare
TX0025,2025-01-13,12:55:00,41.37,Movie tickets,AMC Theatres,Entertainment
TX0026,2024-04-13,12:02:00,159.05,Monthly bill payment,Local Utility,Bills
TX0027,2024-10-01,18:25:00,99.62,Streaming subscription,AMC Theatres,Entertainment
TX0028,2024-08-16,12:40:00,80.14,Concert tickets,AMC Theatres,Entertainment
TX0029,2024-12-31,18:41:00,84.62,Movie tickets,Netflix,Entertainment
TX0030,2024-06-04,20:29:00,159.11,Internet bill,Local Utility,Bills
TX0031,2024-05-05,12:20:00,780.38,Monthly bill payment,Local Utility,Bills
TX0032,2024-12-04,18:55:00,178.43,Pharmacy purchase,Local Clinic,Healthcare
TX0033,2025-01-27,12:02:00,134.29,Supermarket shopping,Costco,Groceries
TX0034,2025-03-09,18:47:00,429.9,Pharmacy purchase,Local Clinic,Healthcare
TX0035,2025-02-22,20:07:00,20.3,Taxi service,Lyft,Transportation
TX0036,2024-08-17,18:03:00,30.45,Bus ticket,Uber,Transportation
TX0037,2024-08-09,20:15:00,124.99,Internet bill,Mobile Carrier,Bills
TX0038,2024-10-20,20:41:00,51.91,Movie tickets,AMC Theatres,Entertainment
TX0039,2025-01-17,18:37:00,24.82,Dinner at restaurant,McDonalds,Food & Beverage
TX0040,2024-09-05,18:51:00,360.81,Pharmacy purchase,Walgreens,Healthcare
TX0041,2024-08-19,18:14:00,122.79,Electricity bill,Mobile Carrier,Bills
TX0042,2024-07-23,22:29:00,29.05,Taxi service,Local Transit,Transportation
TX0043,2024-11-19,18:36:00,117.31,Bulk food items,Costco,Groceries
TX0044,2024-06-14,15:21:00,22.37,Lunch meal,Dunkin,Food & Beverage
TX0045,2024-07-22,12:12:00,27.21,Bus ticket,Uber,Transportation
TX0046,2024-07-12,18:20:00,205.5,Health supplement,Local Clinic,Healthcare
TX0047,2024-09-17,20:59:00,170.44,Monthly bill payment,Internet Provider,Bills
TX0048,2024-04-17,20:26:00,302.71,Health supplement,CVS Pharmacy,Healthcare
TX0049,2024-05-16,18:22:00,22.35,Lunch meal,Starbucks,Food & Beverage
TX0050,2024-05-24,20:33:00,52.5,Concert tickets,AMC Theatres,Entertainment
TX0051,2024-09-18,12:57:00,285.7,Internet bill,Mobile Carrier,Bills
TX0052,2024-09-30,18:40:00,90.82,Electricity bill,Mobile Carrier,Bills
TX0053,2024-05-05,22:55:00,223.69,Bulk food items,Target,Groceries
TX0054,2024-10-28,18:14:00,257.1,Internet bill,Mobile Carrier,Bills
TX0055,2024-06-29,12:48:00,490.39,Pharmacy purchase,Walgreens,Healthcare
TX0056,2024-11-05,08:57:00,40.42,Movie tickets,Netflix,Entertainment
TX0057,2024-06-15,20:41:00,15.91,Dinner at restaurant,Dunkin,Food & Beverage
TX0058,2024-08-31,12:15:00,13.98,Taxi service,Uber,Transportation
TX0059,2024-04-19,12:30:00,55.83,Monthly bill payment,Mobile Carrier,Bills
TX0060,2025-01-23,15:14:00,343.61,Pharmacy purchase,Local Clinic,Healthcare
TX0061,2024-12-20,12:24:00,17.52,Dinner at restaurant,Dunkin,Food & Beverage
TX0062,2025-01-16,18:50:00,50.76,Bulk food items,Target,Groceries
TX0063,2025-03-19,20:40:00,180.34,Supermarket shopping,Target,Groceries
TX0064,2025-01-27,20:34:00,10.2,Coffee purchase,Starbucks,Food & Beverage
TX0065,2024-12-27,22:54:00,366.22,Health supplement,Walgreens,Healthcare
TX0066,2024-04-06,22:04:00,19.73,Concert tickets,AMC Theatres,Entertainment
TX0067,2024-10-21,20:59:00,7.56,Lunch meal,McDonalds,Food & Beverage
TX0068,2024-08-12,18:51:00,235.38,Monthly bill payment,Local Utility,Bills
TX0069,2024-06-15,22:50:00,98.47,Internet bill,Internet Provider,Bills
TX0070,2024-07-01,12:57:00,25.57,Coffee purchase,McDonalds,Food & Beverage
TX0071,2025-03-20,15:01:00,70.63,Movie tickets,Spotify,Entertainment
TX0072,2025-02-14,20:33:00,98.87,Doctor appointment fee,Walgreens,Healthcare
TX0073,2024-07-03,12:22:00,19.45,Ride fare,Local Transit,Transportation
TX0074,2025-03-08,20:57:00,40.62,Streaming subscription,AMC Theatres,Entertainment
TX0075,2025-02-05,20:11:00,78.46,Health supplement,Local Clinic,Healthcare
TX0076,2024-09-29,20:50:00,85.95,Streaming subscription,AMC Theatres,Entertainment
TX0077,2025-01-24,12:40:00,155.22,Grocery store purchase,Costco,Groceries
TX0078,2024-06-21,18:07:00,38.74,Bus ticket,Local Transit,Transportation
TX0079,2024-09-21,22:14:00,44.88,Bus ticket,Lyft,Transportation
TX0080,2024-09-18,18:19:00,29.48,Coffee purchase,Subway,Food & Beverage
TX0081,2024-07-05,20:33:00,134.21,Electricity bill,Mobile Carrier,Bills
TX0082,2025-01-31,08:02:00,1367.85,Doctor appointment fee,Walgreens,Healthcare
TX0083,2024-05-17,20:39:00,21.75,Lunch meal,Subway,Food & Beverage
TX0084,2024-10-19,22:50:00,28.63,Dinner at restaurant,Subway,Food & Beverage
TX0085,2024-07-03,12:49:00,377.21,Health supplement,Walgreens,Healthcare
TX0086,2025-02-08,15:02:00,24.6,Coffee purchase,Dunkin,Food & Beverage
TX0087,2024-11-17,15:58:00,48.66,Ride fare,Lyft,Transportation
TX0088,2025-02-03,20:18:00,24.12,Coffee purchase,Starbucks,Food & Beverage
TX0089,2025-03-24,18:13:00,150.35,Internet bill,Local Utility,Bills
TX0090,2025-01-02,15:42:00,94.05,Pharmacy purchase,CVS Pharmacy,Healthcare
TX0091,2025-02-12,18:17:00,20.31,Taxi service,Uber,Transportation
TX0092,2024-08-19,18:39:00,31.93,Streaming subscription,AMC Theatres,Entertainment
TX0093,2024-06-25,18:04:00,82.14,Doctor appointment fee,Walgreens,Healthcare
TX0094,2024-11-05,08:28:00,11.41,Ride fare,Lyft,Transportation
TX0095,2025-02-05,18:47:00,8.23,Lunch meal,Dunkin,Food & Beverage
TX0096,2024-05-15,18:43:00,104.49,Electricity bill,Local Utility,Bills
TX0097,2025-01-10,15:52:00,12.08,Ride fare,Uber,Transportation
TX0098,2024-10-15,08:36:00,329.07,Doctor appointment fee,Walgreens,Healthcare
TX0099,2025-03-30,20:39:00,55.29,Streaming subscription,Spotify,Entertainment
TX0100,2024-03-29,20:07:00,116.43,Bulk food items,Costco,Groceries
TX0101,2024-12-06,18:03:00,119.45,Doctor appointment fee,CVS Pharmacy,Healthcare
TX0102,2024-09-19,12:23:00,37.38,Concert tickets,Spotify,Entertainment
TX0103,2025-02-07,18:07:00,30.61,Bulk food items,Costco,Groceries
